text,date,likes
"Посол ЄС в Україні прокоментувала масовану комбіновану російську атаку на Київ сьогодні вночі. 

#обстріл #війна #Київ #ЄС

https://t.co/DWfJAZe9YL",2025-05-24 10:00:11+00:00,0
"Чи встигне Трамп виправити помилки, які вже загрожують провалом його найважливішої зовнішньополітичної ініціативи?

#новини #політика #мир #війнавукраїні #трамп

https://t.co/HXgMAWoxqh",2025-05-24 09:59:20+00:00,0
"RT @by_Ukraine: ⚡️❗️ Вночі росіяни здійснили масовану атаку на #Київ дронами 🛩️ та 🚀 балістикою.

🔺У Соломʼянському районі зайнялася пожежа…",2025-05-24 09:58:32+00:00,0
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",2025-05-24 09:52:20+00:00,0
"#Kiev should abandon its ambition to regain control over the territories it has lost to #Russia. Only through a “miracle” could #Ukraine achieve such a goal
🇺🇦🇷🇺🇺🇦🇷🇺🇺🇦🇷🇺🇺🇦🇷🇺🇺🇦🇷🇺🇺🇦🇷🇺🇺🇦🇷🇺🇺🇦🇷🇺
#Україна #Россия #Новороссия #Донбас",2025-05-24 09:52:07+00:00,0
"RT @photomodelsUA: Фотограф @kornienko_photo 
Жанр зйомки: ню, арт-ню, будуар, портрет
Комерція і TFP
м. Київ
#київ #фотограф #photomodelsu…",2025-05-24 09:43:39+00:00,0
"RT @photomodelsUA: Фотограф @DmitryMaxArt 
Жанр зйомки: ню, арт-ню, будуар
Комерція і TFP
м. Київ
#київ #photomodelsua #35mm #35mmfilm #sum…",2025-05-24 09:41:41+00:00,0
"❗️Сили оборони спростували чутки РФ про прорив до Юнаківки у Сумській області

#Юнаківка #Сумщина #ЗСУ #війна #Україна #UkraineRussiaWar 

Деталі: https://t.co/eXBycRwTQO https://t.co/V2JjopGajN",2025-05-24 09:39:01+00:00,0
"RT @JaWernulsa: #Україна #мрій #Зеленського це де родичі платять за свого сина який в полоні 30000$
https://t.co/pqYrhRGuzq",2025-05-24 09:36:14+00:00,0
"RT @by_Ukraine: ⚡️❗️ Вночі росіяни здійснили масовану атаку на #Київ дронами 🛩️ та 🚀 балістикою.

🔺У Соломʼянському районі зайнялася пожежа…",2025-05-24 09:35:46+00:00,0
"Шикарно горящий киев😂. Хохлы раскукарекались на весь интернет, за щооо? Заднеприводные хрюкраинцы недоумевают😂. Зато тепло и светло 😂. В течении дня будут разорвавшиеся пуканы хохлов😂
#세븐틴 #Kiyv #Kiev #Київ #Киев #Russia #Ukraine #Украина #Москва #Moscow #Putin #Путин https://t.co/ax2SIzfjkx",2025-05-24 09:32:18+00:00,0
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",2025-05-24 09:20:43+00:00,0
"⚡️Такий вигляд мала столиця сьогодні вночі.

#Україна #Київ #обстріл #новини #война #УкраїнаПереможе #непробачимо #столиця #руйнування #злочини #силаУкраїни #єдність #supportUkraine #RussiaIsATerroristState https://t.co/lhZapfDcK6",2025-05-24 09:09:53+00:00,0
"RT @by_Ukraine: ⚡️❗️ Вночі росіяни здійснили масовану атаку на #Київ дронами 🛩️ та 🚀 балістикою.

🔺У Соломʼянському районі зайнялася пожежа…",2025-05-24 09:09:12+00:00,0
"RT @adrozd83: Скульптура ""Мир"" на станції метро ""Дніпро"" #Київ

Одним зі співавторів скульптури є Флоріан Коцюбинський – онук Михайла Коцюб…",2025-05-24 09:08:48+00:00,0
"⚡️❗️ Вночі росіяни здійснили масовану атаку на #Київ дронами 🛩️ та 🚀 балістикою.

🔺У Соломʼянському районі зайнялася пожежа у пʼятиповерхівці. Попередньо, врятували одну людину.

🔺В Оболонському районі сталося загорання у девʼятиповерховому будинку. Четверо людей звернулися до https://t.co/QiM3PJaniL",2025-05-24 08:53:20+00:00,9
"У Кремлі зростає впевненість: Захід втомився, а Вашингтон готовий до компромісів.

#новини #політика #трамп #путін #мирнаугода

https://t.co/YMvdIo2Vu5",2025-05-24 08:51:50+00:00,1
"❗️Мобілізація в Україні стала конвеєром страху: людину зводять до цифри, забирають без діалогу, інколи зі смертю. Держава втрачає суспільство, коли звітність важливіша за захист. #Мобілізація #Україна #ТЦК #ПраваЛюдини",2025-05-24 08:46:42+00:00,0
"Od trzydziestu dziewięciu miesięcy Ukraińcy pokazują światu, że Ukraina będzie trwać.
Слава Україні!

For thirty-nine months now, Ukrainians are showing that Ukraine will never fall.
Слава Україні!

#lego #afol #україна #ua #ukraina #ukraine #legophotography #afolphotography https://t.co/FuMsgHHEfd",2025-05-24 08:36:01+00:00,0
#скарбниця Національного музею історії України #Київ https://t.co/MG8zIc4sn8,2025-05-24 08:35:17+00:00,0
RT @adrozd83: #Київ / #Kyiv https://t.co/V5UYsHz3RZ,2025-05-24 08:35:02+00:00,0
